title,description,country,sectors,link,finance
Bye Bye Stuttering,Bye Bye Stuttering will help 80 million people who stutter or stammer to regain their smooth speech. Our multilingual AI driven app will make this possible for anyone with internet access.,Bulgaria [София (столица) (Sofia (stolitsa))],"Health / Human Capital, Education & Training",https://ec.europa.eu/eipp/desktop/en/projects/project-12365.html,6% financed
Digitalisation saving physical stores/showrooms,"Organisations meeting prospects/customers in physical stores/show rooms have major problems competing with e-commerce.
There is an urgent need to learn from e-commerce and improve conversion rates.",France [Île de France] Sweden [Stockholms län],"Other Digital, including Content and Services / Research, Development & Innovation",https://ec.europa.eu/eipp/desktop/en/projects/project-12363.html,1% financed
VNX,VNX is a digital asset investment platform powered by blockchain,Luxembourg [Luxembourg],"Industry for SMEs & Mid-Caps / Other Digital, including Content and Services",https://ec.europa.eu/eipp/desktop/en/projects/project-12362.html,10% financed
Space providing water for all,WEO turns earth observation data into digestible water information for our clients using deep learning algorithms with a focus on sustainable urbanisation and sustainable agriculture.,Luxembourg [Luxembourg] Belgium,"Natural Resources / Research, Development & Innovation",https://ec.europa.eu/eipp/desktop/en/projects/project-12360.html,15% financed
Virtual Classroom/ Learning Management Systems,"Infiniti provides an economical, secure and easy solution for the mass transition to blended learning, through private server based virtual classrooms and learning management systems.",United Kingdom [Eastern Scotland] Greece [Aττική (Attiki)],"Human Capital, Education & Training / Other Digital, including Content and Services",https://ec.europa.eu/eipp/desktop/en/projects/project-12359.html,5% financed
See the world through your ears.,"We are developing an intuitive audio augmented reality navigation application to guide the users in an easy way. To go somewhere, the users simply need to follow the sounds they hear.",Austria [Wien],"Social Infrastructure, Social and Solidarity Economy / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12358.html,15% financed
CHAOS AI,CHAOS is an urban forecasting company for creating liveable cities.,Finland [Helsinki-Uusimaa],"Other Digital, including Content and Services / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12357.html,30% financed
ASSESS,"VERTLINER is establishing a digital space, to remotely connect buildings with people, equipment and factories through an end-to-end process powered by IoT.",Greece [Aττική (Attiki)],"ICT Infrastructures, including Broadband / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12356.html,2% financed
DART_LFT_HighSense_CoV2,DART Diagnostics developed a bio-inspired polymer for signal amplification of immunoassays (patent submission: 10/02/2020) and leads a consortium to use it in lateral flow tests to detect Coronavirus.,Portugal [Lisboa],"Health / Research, Development & Innovation",https://ec.europa.eu/eipp/desktop/en/projects/project-12355.html,35% financed
BRUCE Platform,"BRUCE Platform is the next industry standard of how transactions are made in the Built Environment.
Automated Information Exchange Platform for Smart Buildings, Smart Cities and Smart Communities.",Estonia [Põhja-Eesti],"Other Digital, including Content and Services / Research, Development & Innovation",https://ec.europa.eu/eipp/desktop/en/projects/project-12353.html,0% financed
SolarDew,"SolarDew has developed a point of use, solar desalination technology that can be rapidly deployed after a natural disaster or as a permanent source of drinking water for households and communities.",Netherlands [Utrecht],Climate Change / Natural Resources,https://ec.europa.eu/eipp/desktop/en/projects/project-12351.html,0% financed
WAISENSE: Water Innovation,WAISENSE is an innovative modular IoT solution to raise water-efficiency in different applications and sectors. The technology is internationally patented and already in the market.,Spain [Andalucía],"Research, Development & Innovation / Climate Change",https://ec.europa.eu/eipp/desktop/en/projects/project-12350.html,41% financed
Changing the future of online shopping,"Aequem is the multi-label e-commerce platform bringing over 70 sustainable stylish labels for women and men (fashion, home and beauty) in one seamless destination that makes sustainability effortless.",United Kingdom [Inner London] Netherlands [Noord-Holland],"Resource Efficiency and Environmental Protection, including Blue Economy / Other Digital, including Content and Services",https://ec.europa.eu/eipp/desktop/en/projects/project-12347.html,0% financed
Simply more tennis,"MyGames is helping tennis court owners to reduce costs, improve occupancy, increase revenue and profit.",Estonia [Lääne-Eesti] Germany [BERLIN] United Kingdom [Inner London],"Other Digital, including Content and Services / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12344.html,1% financed
AGITRON,Agitron helps retailers improve customer engagement and increase sales by using its proprietary Agitron Smart Labels and cloud-based software that integrates with all modern ERP systems.,Slovenia [Podravska],"Other Digital, including Content and Services / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12342.html,0% financed
Sustainify - A tool to do responsible investing,"Sustainify rates listed companies on their CSR, so investors can make easy, sustainable investing. We research and fact-check claims made by the companies and generate sustainability data.",Denmark [Hovedstaden],"Research, Development & Innovation / Human Capital, Education & Training",https://ec.europa.eu/eipp/desktop/en/projects/project-12340.html,0% financed
BrightCure,"BrightCure develops novel bio-active products that fight harmful bacteria and rebalance the microbiome, boosting the natural immune system to promote a healthy urinary tract and intimate flora.",United Kingdom [Inner London],Health / Industry for SMEs & Mid-Caps,https://ec.europa.eu/eipp/desktop/en/projects/project-12338.html,20% financed
FootAR,An Augmented Reality Second Screen App that empower sports fans to enhance live smart data,Portugal [Região Autónoma da Madeira],"Other Digital, including Content and Services / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12336.html,1% financed
Disruptive Floating Wind Technology,"X1 Wind is developing an innovative floating wind concept to make a step change in the offshore wind sector, by providing a reliable low-cost solution that can be installed at sea in deep waters.",Spain [Cataluña],Renewable Energy Production / Industry for SMEs & Mid-Caps,https://ec.europa.eu/eipp/desktop/en/projects/project-12335.html,60% financed
Apatxee on time,Apatxee on time is a marketplace for small Spanish businesses with pick-up and delivery in one hour!,Spain [Comunidad Foral de Navarra],"New Technologies and Transport Greening / Social Infrastructure, Social and Solidarity Economy",https://ec.europa.eu/eipp/desktop/en/projects/project-12333.html,10% financed
LUGGIt,"LUGGit is a mobile app and allows anyone who travels to request a Keeper to collect their luggage, keep it and deliver at the place and time they choose.",Portugal [Lisboa] Portugal [Norte],"Other Digital, including Content and Services / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12331.html,14% financed
MycoTEX,MycoTEX is a ground breaking seamless manufacturing method allowing for custom-made clothes made from compostable mushroom roots.,Netherlands [Utrecht],"Research, Development & Innovation / Cultural & Creative Industries",https://ec.europa.eu/eipp/desktop/en/projects/project-12329.html,18% financed
CellUnite,"CellUnite is developing the world’s first automated cell extractor, which can be used for osteoarthritis, chronic injuries, etc. and allows personalisation and optimisation of therapy.",Germany [BAYERN],Health / Industry for SMEs & Mid-Caps,https://ec.europa.eu/eipp/desktop/en/projects/project-12328.html,2% financed
Childfy,Childfy is a community of families who seek to save time by sharing trips to school and all the extra-curricular activities.,Spain [Andalucía] Spain,Urban Mobility Projects / Industry for SMEs & Mid-Caps,https://ec.europa.eu/eipp/desktop/en/projects/project-12326.html,5% financed
YooniK: Intelligent Customer Recognition,"YooniK makes the process of proving who you are, paying for services or access spaces contactless, convenient, private and secure, through privacy-first facial recognition offered as SaaS.",Portugal [Lisboa],"Other Digital, including Content and Services / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12324.html,4% financed
Automated 2D echocardiography with AI,Deep Learning based software for automatic analysis of 2D heart ultrasound images (echocardiograms) for faster and more accurate analysis.,Lithuania [Vilniaus apskritis],"Health / Research, Development & Innovation",https://ec.europa.eu/eipp/desktop/en/projects/project-12322.html,18% financed
Transforming carbon footprint,"GreenPay design a green and interactive digital city map to promote and activate circular economy flow and sustainable business impact, ultimately attempting to achieve carbon neutral city goal.",Finland [Helsinki-Uusimaa],"Climate Change / Other Digital, including Content and Services",https://ec.europa.eu/eipp/desktop/en/projects/project-12320.html,1% financed
imZERT - excellent traceability for plastic,"Our technology creates traceable barcodes on plastic, at low cost and without any contamination. This raises Quality, improves Sustainability and Defends Brand Value for our Customers.",Denmark [Hovedstaden] Denmark,"Resource Efficiency and Environmental Protection, including Blue Economy / New Technologies and Transport Greening",https://ec.europa.eu/eipp/desktop/en/projects/project-12319.html,10% financed
The Mighty Kitchen,"The Mighty Kitchen is a food technology company using data modelling and biochemistry to make delicious, fibrous, plant-based poultry products and ingredients.",United Kingdom [Inner London] Cyprus [Extra-Regio NUTS 3] Greece [Extra-Regio NUTS 2],"Resource Efficiency and Environmental Protection, including Blue Economy / Agriculture and rural development, forestry and bio-economy",https://ec.europa.eu/eipp/desktop/en/projects/project-12318.html,55% financed
Hookle,Making social media marketing super easy for small businesses.,Finland [Helsinki-Uusimaa],"Industry for SMEs & Mid-Caps / Other Digital, including Content and Services",https://ec.europa.eu/eipp/desktop/en/projects/project-12317.html,8% financed
nearbyDoc,nearbyDoc APP is an available doctor/veterinary search service available globally.,Italy [Lombardia] France [Île de France] Germany [BERLIN],Health / Industry for SMEs & Mid-Caps,https://ec.europa.eu/eipp/desktop/en/projects/project-12311.html,10% financed
Doggies in Town,"Bringing everyday smiles to the lives of dogs, dog owners & dog businesses by connecting them to each other & offering the widest range of choice out there.",Spain [Comunidad de Madrid] Spain [Cataluña] United Kingdom,"Other Digital, including Content and Services / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12310.html,1% financed
Massive Scaling of COVID19 testing using NGS,PCR doesn’t scale well - it’s also slow. We leverage Next Generation Sequencing to massively scale access to COVID19 testing enabling test of 20% of the world population in 1 week.,Denmark [Hovedstaden],Health / Industry for SMEs & Mid-Caps,https://ec.europa.eu/eipp/desktop/en/projects/project-12309.html,0% financed
Block Buy,The circular e-commerce that empowers neighborhoods to shine again,Italy [Lazio] Italy [Emilia-Romagna],"Other Digital, including Content and Services / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12307.html,10% financed
SnoreFree® health app,SnoreFree® is the 1st health app with a solid scientific background that can heal the problem of snoring. SnoreFree offers a highly effective anti-snore gym based on simple speech therapy exercises.,Austria [Wien],"Health / Other Digital, including Content and Services",https://ec.europa.eu/eipp/desktop/en/projects/project-12304.html,40% financed
Staiy,"Staiy is the first sustainable fashion marketplace merging aesthetics, sustainability and AI-technology in one place.",Germany [BERLIN] Netherlands Sweden,"Industry for SMEs & Mid-Caps / Other Digital, including Content and Services",https://ec.europa.eu/eipp/desktop/en/projects/project-12303.html,26% financed
"V-Tools - If you don’t experience it, you don’t feel it","Our product uses a disruptive method to effectively change people’s values and behaviours. We want to prevent a social problem, namely bullying in schools and gender inequality during adolescence.",Spain [Cataluña],"Human Capital, Education & Training / Cultural & Creative Industries",https://ec.europa.eu/eipp/desktop/en/projects/project-12302.html,0% financed
enrouteQ - Public Transport Simplified,"We help create sustainable cities with inclusive, safe and affordable mobility for all. A single cloud-based platform to digitize public transport networks and operations.",Sweden [Västra Götalands län] Poland [Warmińsko-Mazurskie] Sweden,"Urban Mobility Projects / Other Digital, including Content and Services",https://ec.europa.eu/eipp/desktop/en/projects/project-12301.html,34% financed
Solar Heated Packages,"Ultra-portable and lightweight solar heated packaging solutions for safe and easy outdoor heating, cooking, sterilizing, food preservation and water pasteurizing.",Finland [Helsinki-Uusimaa],"Research, Development & Innovation / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12298.html,5% financed
Enjoy The Ride - sustainable business travel,ENJOY THE RIDE is a (B2B SaaS) business travel management solution which optimizes the business traveller’s customer journey. Enjoy The Ride’s mission is to bring joy back in business travel.,Netherlands [Noord-Holland] United Kingdom [Inner London] Germany [BERLIN],"Other Digital, including Content and Services / New Technologies and Transport Greening",https://ec.europa.eu/eipp/desktop/en/projects/project-12295.html,5% financed
The Predictive Company,"At Predictive Company we help companies save money by reducing the energy inefficiencies and by doing so, we encourage a sustainable and green world.",Spain [Cataluña] Spain,Energy Efficiency / Climate Change,https://ec.europa.eu/eipp/desktop/en/projects/project-12292.html,10% financed
SMARTBIOMETRIK,"Identification and identity-verification systems using facial recognition biometrics. Digital security for companies’ daily operations, using high-tech solutions.",Spain [Comunidad de Madrid] Spain [Andalucía] Spain [Comunidad Valenciana],"Other Digital, including Content and Services / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12290.html,20% financed
Bio-decontamination for everyone everywhere,"Delox developed a new automatic bio-decontamination device that will transform the current bio-decontamination niche markets into mass markets in Health, Pharma, Biodefense and Space sectors.",Portugal [Lisboa] United Kingdom [Merseyside],Health / Industry for SMEs & Mid-Caps,https://ec.europa.eu/eipp/desktop/en/projects/project-12289.html,20% financed
Muylocal,The very local fresh food marketplace,Spain [Andalucía],"Other Digital, including Content and Services / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12288.html,3% financed
AGORA,"The fundamental objective of this project is to create AGORA, a unique, dynamic, multi-lingual, sophisticated, cross-country social media monitoring and analysis platform for corporate decision-making",Greece [Aττική (Attiki)] Spain [Comunidad de Madrid] United Kingdom [Inner London],"Other Digital, including Content and Services / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12234.html,30% financed
USITOO4CITIES,USITOO4CITIES aims at a SaaS platform for cities to be able to boost mutualisation of objects with a low usage rate on their territory through an innovative circular e-rental model.,Belgium [Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest],"Climate Change / Resource Efficiency and Environmental Protection, including Blue Economy",https://ec.europa.eu/eipp/desktop/en/projects/project-12216.html,0% financed
REPViT,We are developing a simple to use rapid (<30 mins) detection kit for SARS-CoV-2 (and other viruses) that can be used wherever and whenever you need,Spain [País Vasco],Health / Industry for SMEs & Mid-Caps,https://ec.europa.eu/eipp/desktop/en/projects/project-12214.html,35% financed
Hoplr - Social network for local communities,Hoplr boosts citizen engagement and participation by combining the power of a social network with tools for local governments. Social innovation and impact through local community building.,Belgium [Prov. Oost-Vlaanderen] Netherlands [Zuid-Holland],"Social Infrastructure, Social and Solidarity Economy / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12213.html,30% financed
IDBioWave,Millimeter Wave Contactless Biometric Identification System for Payment ID and HealthCare,France [Provence-Alpes-Côte dAzur] Germany,"Research, Development & Innovation / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12210.html,30% financed
Fluidic Air Lubrication,"We enable the shipowner’s transition to Green Shipping. Our advanced Fluidic Air Lubrication technology reduces fuel consumption, emissions, and fouling, enabling Shipowners to reduce operating costs.",Netherlands [Zuid-Holland] Denmark [Hovedstaden],"Resource Efficiency and Environmental Protection, including Blue Economy / New Technologies and Transport Greening",https://ec.europa.eu/eipp/desktop/en/projects/project-12207.html,10% financed
Power Cloud Platform,"At Cyscale, we create next-gen tools to simplify cloud adoption without compromising on security. Technically, we collect cloud metadata and transform it into Knowledge using graph database technology",Romania [Nord-Vest] Germany [BAYERN] Poland [Mazowieckie],"Research, Development & Innovation / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12195.html,30% financed
Sustainable dry stack construction technology,"3E is the only dry stack building technology that meets sustainability goals: affordable, green, and safe. Produced from organic materials, without oil-based products and a minimal water footprint.",Poland [Mazowieckie] Sweden Germany,Industry for SMEs & Mid-Caps / Energy Efficiency,https://ec.europa.eu/eipp/desktop/en/projects/project-12194.html,1% financed
Battery Thermal Management System,"The BTMS is patented new type of battery heat exchanger that allows to EVs significantly (9x) accelerate charging, increase capacity of battery packs (+47%) and works as a fire safety protection.",Czech Republic [Zlínský kraj],New Technologies and Transport Greening / Vehicles and Transport Systems,https://ec.europa.eu/eipp/desktop/en/projects/project-12192.html,6% financed
PseudoPatient,"RTsafe’s PseudoPatient is the first FDA-cleared, patient-specific, anatomically-exact model of human head and brain, offered to Radiotherapy clinics for simulating radiation therapy for each patient.",Greece [Aττική (Attiki)] Ireland [Dublin],Health / Industry for SMEs & Mid-Caps,https://ec.europa.eu/eipp/desktop/en/projects/project-12186.html,0% financed
Paywoke,"Paywoke is an all-in-one Saas solution for B2B customers, who strive to use digital services including KYC, AML, Credit history and scoring in a seamless manner",Luxembourg [Luxembourg],"Other Digital, including Content and Services / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12184.html,5% financed
WOOM,"WOOM is a data driven FemTech company (female technologies), helping women to take the right decision about their reproductive health using algorithms.",Spain [Comunidad de Madrid] Bulgaria [София (Sofia)],"Health / Other Digital, including Content and Services",https://ec.europa.eu/eipp/desktop/en/projects/project-12168.html,66% financed
Universal Health Chain,"UHC solves the lack of interoperability and allows users to: securely store, share, and synchronise health data from healthcare services. Particularly relevant for the Covid-19 pandemic.",Spain [Comunidad de Madrid] France [Île de France] Estonia,"Health / Research, Development & Innovation",https://ec.europa.eu/eipp/desktop/en/projects/project-12149.html,30% financed
SuperVision Space,SuperVision Space is a cloud-based application for early detection of risks to underground gas pipelines and similar infrastructure.,Germany [HESSEN],"Electricity Infrastructure incl. transmission, distribution, storage and smart grids / Other Digital, including Content and Services",https://ec.europa.eu/eipp/desktop/en/projects/project-12174.html,5% financed
ALLIANCE-AF,ALLIANCE-AF: Left Atrial Appendage Occlusion & Electrical System for the treatment of Atrial Fibrillation.,Ireland [West],Health / Industry for SMEs & Mid-Caps,https://ec.europa.eu/eipp/desktop/en/projects/project-12170.html,45% financed
The atlas of cancer progression,"Ourotech Limited (trading as Pear Bio) is recreating, visualizing and computing the human tumor microenvironment and its effects on cancer progression/drug resistance.",United Kingdom [Inner London],Health / Industry for SMEs & Mid-Caps,https://ec.europa.eu/eipp/desktop/en/projects/project-12160.html,20% financed
Praman Technology Spa (Trade Name- Sensegrass ),Soil Intelligence system for fertilizer management and detect crop diseases to improve soil efficiency and crop yield by patented IoT+AI Algorithm for Soil Precision to tackle climate change on agri.,France [Île de France] Spain [Región de Murcia],"Agriculture and rural development, forestry and bio-economy / Climate Change",https://ec.europa.eu/eipp/desktop/en/projects/project-12159.html,30% financed
ViewSmartly: Virtual Property Viewings,ViewSmartly enables business continuity for estate agents in the times of COVID-19. This tool takes the pain out of sharing and managing video tours in lieu of in-person property viewings.,United Kingdom [Inner London] United Kingdom [Outer London],"Other Digital, including Content and Services / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12153.html,50% financed
eCustoms,"eCustoms: simplify, synchronise, secure, digitalise, and accelerate logistics processes – including customs – using Blockchain technology.",Spain [Comunidad de Madrid] Portugal [Lisboa] Netherlands [Zuid-Holland],"Multimodal Nodes (ports, airports, stations, logistic platforms) / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12152.html,15% financed
WeFish,"Sport fishing app allowing you to contact other fishermen, share experiences, keep a record of your activities and plan your trips.",Spain [Región de Murcia],"Other Digital, including Content and Services / Tourism",https://ec.europa.eu/eipp/desktop/en/projects/project-12139.html,6% financed
Optimise Remote Cross Border Interactions,"This project will OPTIMISE business and public cross border INTERACTIONS to DELIVER long term OUTCOMES across the EU and it global PARTNERS, in areas of INNOVATION and DELIVERY.",Spain [Cataluña] Belgium [Prov. Luxembourg (BE)] Italy [Veneto],"Research, Development & Innovation / Human Capital, Education & Training",https://ec.europa.eu/eipp/desktop/en/projects/project-12126.html,0% financed
T-Bot,Autonomous Apparel production Robots,Italy [Veneto],"Industry for SMEs & Mid-Caps / Research, Development & Innovation",https://ec.europa.eu/eipp/desktop/en/projects/project-12121.html,35% financed
Sustainable Urban Mobility,"Smove.City provides cities and municipalities their own shared e-bike solution. We provide a mobile app, a fleet management platform for the city which gives full access to real time data.",Belgium [Prov. Oost-Vlaanderen] Czech Republic [Hlavní město Praha] Portugal [Centro (PT)],Urban Mobility Projects / Industry for SMEs & Mid-Caps,https://ec.europa.eu/eipp/desktop/en/projects/project-12112.html,0% financed
The first self-cleaning filter mask,"AIR/R HEALTH DEVICES is developing a protective mask with a unique high-performance HEPA filter, which connects in real-time: the ‘AIR/R P4’.",France [Île de France],"Health / Research, Development & Innovation",https://ec.europa.eu/eipp/desktop/en/projects/project-12104.html,5% financed
CYREM BIOCITY-Biomass treatment plant in Cyprus,"The project involves the development of CYREM BIOCITY, a biomass treatment plant in Cyprus producing liquid and solid 2nd generation biofuels, by M.E.K.P. Energy Ltd.",Cyprus [Κύπρος (Kýpros)],Renewable Energy Production / Industry for SMEs & Mid-Caps,https://ec.europa.eu/eipp/desktop/en/projects/project-12090.html,20% financed
Kibus,Kibus is the first home appliance that cooks dehydrated healthy pet food for cats and dogs automatically.,Spain [Cataluña],Health / Industry for SMEs & Mid-Caps,https://ec.europa.eu/eipp/desktop/en/projects/project-11541.html,40% financed
LIQUAM,LIQUAM® is a patented equipment based on High Power Ultrasouns technology that will become the new gold standard for honey processing replacing the non-respectful pasteurization,Spain [Cataluña] Spain,"Research, Development & Innovation / Agriculture and rural development, forestry and bio-economy",https://ec.europa.eu/eipp/desktop/en/projects/project-11626.html,70% financed
Online Architect Consultations,Monetising the client acquisition & on-boarding of homeowner clients for Architects & Home Designers. By connecting homeowner to Architects & Home Designers through online consultations.,Ireland [Dublin],"Other Digital, including Content and Services / Cultural & Creative Industries",https://ec.europa.eu/eipp/desktop/en/projects/project-12167.html,0% financed
Turn-the-Tide,Rapid development of novel antiviral treatments to reduce the impact of the current coronavirus pandemic,Netherlands [Zuid-Holland],"Research, Development & Innovation / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12165.html,10% financed
evernoa,"Circular approach to respiratory disease patients, e.g. asthma and COVID, allowing diagnosis and management in a simple, safe and cost-effective way combining Breathomics and Artificial Intelligence.",Spain [Comunidad Foral de Navarra],Health / Industry for SMEs & Mid-Caps,https://ec.europa.eu/eipp/desktop/en/projects/project-12164.html,15% financed
PIELERS Cloud: Barn2Door open food platform,"PIELERS is a cloud-based farm2fork open food platform with multiple API, where small to medium-sized farmers and food producers sell food Barn2Door B2C and B2B.",Germany [BERLIN],"Other Digital, including Content and Services / Agriculture and rural development, forestry and bio-economy",https://ec.europa.eu/eipp/desktop/en/projects/project-12163.html,10% financed
AWARE,Advanced face recognition and crowd behavior analysis for next generation video surveillance,Spain [Cataluña],"Research, Development & Innovation / Other Digital, including Content and Services",https://ec.europa.eu/eipp/desktop/en/projects/project-12161.html,40% financed
MOOTIV HEALTH PERSONAL TRAINER,"Mootiv is an intelligent, automatic, personal training system for the improvement of health, focusing on chronic and acute health conditions. With fully integrated user App and Doctor’s platform.",Spain [Comunidad Foral de Navarra],"Health / Other Digital, including Content and Services",https://ec.europa.eu/eipp/desktop/en/projects/project-12157.html,40% financed
Influencity,Influencity is the most completed AI-powered influencer marketing platform on the market for worldwide brands.,Spain [Comunidad de Madrid],"Other Digital, including Content and Services / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12155.html,25% financed
biztribution,biztribution is a blockchain-based fully decentralised distribution model for the air travel industry. We reinvent air distribution by avoiding overheads and intermediary costs,Spain [Aragón],Trans European Network – Transport / New Technologies and Transport Greening,https://ec.europa.eu/eipp/desktop/en/projects/project-12151.html,24% financed
MOWOOT - solution to chronic constipation,"MOWOOT is a growth stage medical device company targeting intestinal transit disorders with a novel, purely physical, non-drug & non-invasive solution.",Spain [Cataluña],"Health / Research, Development & Innovation",https://ec.europa.eu/eipp/desktop/en/projects/project-12150.html,0% financed
Smart Consent,Tool for the management of the medical informed consent (MIC) that communicate medical-patient information through multilingual video-animations made by healthcare professionals.,Spain [País Vasco],"Health / Other Digital, including Content and Services",https://ec.europa.eu/eipp/desktop/en/projects/project-12147.html,20% financed
Endoscopic Outpatient Cancer Treatment platform,We are developing an outpatient cancer treatment solution which utilises ultra-high frequency electrical pulses to target the tumour while preserving healthy tissue.,Ireland [South-West (IE)],Health / Industry for SMEs & Mid-Caps,https://ec.europa.eu/eipp/desktop/en/projects/project-12146.html,25% financed
Enigma Digital - 2020 Acceleration Plan,"Enigma is a market leader in recovering lost or deleted data from iPhones. We’re raising €1.5m to accelerate European growth through product innovation, multi-language, and distribution partnerships.",United Kingdom [Inner London] United Kingdom [Outer London],"Other Digital, including Content and Services / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12145.html,33% financed
Regemat 3D,"Regemat 3D: The best partner for your research.
Our main activity is focused on these 3 business lines:
BioPrinting, Bioreactors, Tissue Engineering and Lab equipment.",Spain [Andalucía],"Health / Research, Development & Innovation",https://ec.europa.eu/eipp/desktop/en/projects/project-12144.html,10% financed
GREEN KILLER WEEDS,"An alternative to herbicides and pesticides, without toxins, without water, without plastics...",Spain [Comunidad Foral de Navarra],"Agriculture and rural development, forestry and bio-economy / Health",https://ec.europa.eu/eipp/desktop/en/projects/project-12143.html,55% financed
GeroPRM - Geriatric Patient Remote Monitoring,"Up to 57% of the deaths in Europe in the coronavirus crisis have been our elderly people in one of the 50,000 nursing homes, due to the lack of health resources in hospitals.",Spain [Castilla y León],"Health / Social Infrastructure, Social and Solidarity Economy",https://ec.europa.eu/eipp/desktop/en/projects/project-12141.html,0% financed
Tight Alright – Connected-health for wounds,"FeelTect delivers Tight Alright – the first device to use wearable, connected-health technology, combined with a digital platform, for monitoring compression therapy during venous leg ulcer treatment.",Ireland [West],"Health / Research, Development & Innovation",https://ec.europa.eu/eipp/desktop/en/projects/project-12140.html,20% financed
The Life-Saving Blockchain,"BlockTac commercializes anti-fraud solutions based on Blockchain, implemented in Fast-Moving Consumer Goods (Pharma, Food & Bev.), idCards, professional accreditations, artworks and medical records.",Spain [Cataluña] Italy [Puglia] France [Bourgogne-Franche-Comté],"Other Digital, including Content and Services / Health",https://ec.europa.eu/eipp/desktop/en/projects/project-12138.html,22% financed
Bioo Sensor,A biological reactor that will replace the use of environmentally dangerous and expensive chemical batteries in precision agriculture.,Spain [Cataluña],Renewable Energy Production / Industry for SMEs & Mid-Caps,https://ec.europa.eu/eipp/desktop/en/projects/project-12136.html,65% financed
SMOWL,"Smowltech aims to help institutions maintain the quality of online assessments using an artificial intelligence proctoring, a flexible solution that adapts to the pedagogical methodology",Spain [País Vasco],"Human Capital, Education & Training / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12135.html,0% financed
AMMIOT - Accelerating Massive Mobile IoT,M2MC’s “Accelerating Massive Mobile IoT” (AMMIOT) innovation aims to provide an end-to-end solution for businesses developing IoT products and solutions accessing the new 5G mobile IoT markets.,Czech Republic [Hlavní město Praha] Germany Italy,"Research, Development & Innovation / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12134.html,10% financed
Ad Bidding Engine for Retail Media Network,Intouch is building an advertising bidding engine to facilitate a new advertising revenue stream through our in-store media retail network.,Ireland [Dublin] Germany France,"Other Digital, including Content and Services / ICT Infrastructures, including Broadband",https://ec.europa.eu/eipp/desktop/en/projects/project-12132.html,20% financed
FLYTOSAN,Bioconversion of Black Soldier FLY inTO high-quality chitoSAN,Spain [Región de Murcia] Germany Belgium,"Resource Efficiency and Environmental Protection, including Blue Economy / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12130.html,20% financed
Scale up & market entry of mfloDx® test kits,Market penetration and scale-up of production to achieve global supply and sales of mfloDx® test kits for the detection of tuberculosis and its antibiotic drug resistance profiles.,Sweden [Stockholms län],"Research, Development & Innovation / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12128.html,1% financed
Drive-Through COVID-19 Community Testing,"LEAD Innovation management has organized in central Europe a consortium of industrial companies and specialists, which can build 80 Drive In Test Stations within 10 days.",Austria [Wien],"Health / Research, Development & Innovation",https://ec.europa.eu/eipp/desktop/en/projects/project-12123.html,30% financed
